job_uuid,client_uuid,driver_uuid,vehicle_uuid,client_device,is_subs_trip,request_type,status,request_date_time,request time,begintrip_date_time,begin trip time,dropoff_date_time,dropoff time,trip_distance_miles,payment_method,pickup_walking_distance_meters,vehicle_capacity,trip_date
21,1755,24,306,iphone,TRUE,PRESCHEDULING,completed,07-02-2021 00:00,08:26:00,07-02-2021 00:00,08:31:00,07-02-2021 00:00,09:04:00,17.267744,cash,0,15,07-02-2021
22,1701,,,iphone,FALSE,PRESCHEDULING,rider_canceled,25-02-2021 00:00,09:52:00,,,,,0,cash,,,25-02-2021
23,4317,160,259,iphone,FALSE,PRESCHEDULING,completed,25-02-2021 00:00,16:51:00,25-02-2021 00:00,16:49:00,25-02-2021 00:00,18:07:00,32.46535,cash,139.77176,15,25-02-2021
24,1098,113,152,clientlite,TRUE,PRESCHEDULING,completed,14-02-2021 00:00,08:17:00,14-02-2021 00:00,08:20:00,14-02-2021 00:00,09:19:00,29.00415,cash,489.1917,15,14-02-2021
25,1805,,,android,FALSE,PRESCHEDULING,rider_canceled,17-02-2021 00:00,00:06:00,,,,,0,cash,,,16-02-2021
26,390,236,301,clientlite,FALSE,MICROSCHEDULING,rider_canceled,07-02-2021 00:00,18:11:00,,,,,0,MasterCard,75.07365,15,07-02-2021
27,4172,449,292,android,TRUE,PRESCHEDULING,completed,21-02-2021 00:00,09:04:00,21-02-2021 00:00,09:08:00,21-02-2021 00:00,09:57:00,13.663699,cash,0,15,21-02-2021
28,3544,474,157,clientlite,FALSE,PRESCHEDULING,completed,07-02-2021 00:00,17:45:00,07-02-2021 00:00,17:51:00,07-02-2021 00:00,18:50:00,14.626361,cash,0,15,07-02-2021
29,3889,115,376,clientlite,FALSE,MICROSCHEDULING,rider_canceled,03-02-2021 00:00,18:36:00,,,,,0,cash,149.56575,15,03-02-2021
30,3166,285,253,android,TRUE,MICROSCHEDULING,completed,16-02-2021 00:00,09:32:00,16-02-2021 00:00,09:38:00,16-02-2021 00:00,10:38:00,14.926019,cash,20.180832,15,16-02-2021
31,437,338,388,clientlite,FALSE,PRESCHEDULING,completed,08-02-2021 00:00,06:55:00,08-02-2021 00:00,06:55:00,08-02-2021 00:00,07:26:00,18.359781,stored_value,436.12015,15,08-02-2021
32,2513,481,507,android,FALSE,MICROSCHEDULING,completed,28-02-2021 00:00,08:26:00,28-02-2021 00:00,08:33:00,28-02-2021 00:00,10:02:00,17.542614,cash,574.78827,15,28-02-2021
33,4882,370,381,android,TRUE,MICROSCHEDULING,completed,22-02-2021 00:00,07:09:00,22-02-2021 00:00,07:28:00,22-02-2021 00:00,07:51:00,9.516923,cash,164.51096,14,22-02-2021
34,3482,464,115,clientlite,TRUE,PRESCHEDULING,completed,18-02-2021 00:00,07:33:00,18-02-2021 00:00,07:33:00,18-02-2021 00:00,08:33:00,32.9316,cash,0,14,18-02-2021
35,4445,453,339,android,FALSE,PRESCHEDULING,rider_canceled,23-02-2021 00:00,17:46:00,,,,,0,cash,0,15,23-02-2021
36,1894,206,187,clientlite,FALSE,MICROSCHEDULING,completed,09-02-2021 00:00,15:58:00,09-02-2021 00:00,16:11:00,09-02-2021 00:00,17:32:00,34.51052,MasterCard,432.1631,14,09-02-2021
37,939,,,iphone,FALSE,PRESCHEDULING,rider_canceled,06-02-2021 00:00,21:11:00,,,,,0,cash,,,06-02-2021
38,4794,328,45,android,FALSE,PRESCHEDULING,rider_canceled,24-02-2021 00:00,14:49:00,,,,,0,cash,0,13,24-02-2021
39,4613,365,263,iphone,FALSE,PRESCHEDULING,completed,15-02-2021 00:00,07:42:00,15-02-2021 00:00,07:44:00,15-02-2021 00:00,08:41:00,29.711369,stored_value,806.5342,15,15-02-2021
40,4747,329,77,iphone,FALSE,PRESCHEDULING,completed,01-02-2021 00:00,10:19:00,01-02-2021 00:00,10:23:00,01-02-2021 00:00,11:12:00,20.81669,stored_value,2738.6182,15,01-02-2021
41,65,116,518,clientlite,TRUE,MICROSCHEDULING,completed,10-02-2021 00:00,18:22:00,10-02-2021 00:00,18:46:00,10-02-2021 00:00,20:12:00,22.280525,MasterCard,310.1961,15,10-02-2021
42,113,331,305,clientlite,TRUE,MICROSCHEDULING,completed,21-02-2021 00:00,15:23:00,21-02-2021 00:00,15:50:00,21-02-2021 00:00,17:17:00,42.52765,cash,129.15425,15,21-02-2021
43,511,384,493,clientlite,TRUE,PRESCHEDULING,completed,23-02-2021 00:00,06:59:00,23-02-2021 00:00,07:05:00,23-02-2021 00:00,07:43:00,22.863274,cash,41.558174,15,23-02-2021
44,1795,341,205,iphone,TRUE,MICROSCHEDULING,completed,25-02-2021 00:00,16:16:00,25-02-2021 00:00,16:46:00,25-02-2021 00:00,18:09:00,27.43536,Visa,74.294815,15,25-02-2021
45,2823,223,264,unknown,TRUE,PRESCHEDULING,completed,25-02-2021 00:00,08:47:00,25-02-2021 00:00,08:50:00,25-02-2021 00:00,09:25:00,11.949261,MasterCard,315.64032,15,25-02-2021
46,4059,384,115,android,TRUE,PRESCHEDULING,completed,25-02-2021 00:00,06:40:00,25-02-2021 00:00,06:43:00,25-02-2021 00:00,07:52:00,32.39443,cash,169.7152,14,25-02-2021
47,953,197,58,iphone,FALSE,PRESCHEDULING,completed,01-02-2021 00:00,18:00:00,01-02-2021 00:00,18:02:00,01-02-2021 00:00,19:39:00,19.517805,cash,457.2728,14,01-02-2021
48,1884,156,413,android,FALSE,PRESCHEDULING,driver_canceled,25-02-2021 00:00,17:14:00,,,,,0,cash,0,14,25-02-2021
49,4601,16,315,android,FALSE,PRESCHEDULING,completed,28-02-2021 00:00,07:34:00,28-02-2021 00:00,07:40:00,28-02-2021 00:00,08:27:00,27.75854,cash,22.711973,15,28-02-2021
50,3182,47,342,clientlite,TRUE,PRESCHEDULING,completed,14-02-2021 00:00,17:16:00,14-02-2021 00:00,17:18:00,14-02-2021 00:00,19:06:00,30.666145,Visa,0,15,14-02-2021
51,1913,203,164,iphone,TRUE,MICROSCHEDULING,completed,17-02-2021 00:00,09:41:00,17-02-2021 00:00,09:53:00,17-02-2021 00:00,10:40:00,14.146895,cash,282.8459,15,17-02-2021
52,4915,488,487,iphone,FALSE,PRESCHEDULING,driver_canceled,03-02-2021 00:00,16:32:00,,,,,0,cash,287.51605,15,03-02-2021
53,2424,414,380,clientlite,TRUE,PRESCHEDULING,completed,28-02-2021 00:00,09:33:00,28-02-2021 00:00,09:50:00,28-02-2021 00:00,10:42:00,10.459384,cash,37.42444,15,28-02-2021
54,795,,,android,FALSE,PRESCHEDULING,rider_canceled,06-02-2021 00:00,22:53:00,,,,,0,cash,,,06-02-2021
55,3650,207,470,android,FALSE,PRESCHEDULING,rider_canceled,02-02-2021 00:00,14:15:00,,,,,0,cash,133.86353,15,02-02-2021
56,2918,291,284,android,FALSE,PRESCHEDULING,driver_canceled,14-02-2021 00:00,07:48:00,,,,,0,cash,0,14,14-02-2021
57,4953,84,9,iphone,TRUE,PRESCHEDULING,completed,15-02-2021 00:00,08:28:00,15-02-2021 00:00,08:28:00,15-02-2021 00:00,09:09:00,10.703206,cash,92.77223,15,15-02-2021
58,1360,,,android,FALSE,MICROSCHEDULING,rider_canceled,28-02-2021 00:00,08:25:00,,,,,0,cash,0,,28-02-2021
59,1439,387,1,android,FALSE,MICROSCHEDULING,completed,28-02-2021 00:00,17:41:00,28-02-2021 00:00,18:35:00,28-02-2021 00:00,19:04:00,6.140967,stored_value,1135.1769,15,28-02-2021
60,856,492,281,iphone,TRUE,MICROSCHEDULING,completed,18-02-2021 00:00,07:32:00,18-02-2021 00:00,07:54:00,18-02-2021 00:00,08:11:00,7.5539484,cash,0,15,18-02-2021
61,4891,69,302,clientlite,TRUE,PRESCHEDULING,completed,17-02-2021 00:00,08:10:00,17-02-2021 00:00,08:06:00,17-02-2021 00:00,09:09:00,35.203926,cash,451.6224,14,17-02-2021
62,669,228,33,unknown,FALSE,PRESCHEDULING,completed,08-02-2021 00:00,07:21:00,08-02-2021 00:00,07:15:00,08-02-2021 00:00,07:45:00,13.661727,derivative,0,14,08-02-2021
63,5309,335,27,iphone,FALSE,MICROSCHEDULING,completed,07-02-2021 00:00,17:58:00,07-02-2021 00:00,18:13:00,07-02-2021 00:00,19:07:00,11.99382,cash,52.669823,15,07-02-2021
64,3798,261,100,android,FALSE,PRESCHEDULING,rider_canceled,10-02-2021 00:00,10:16:00,10-02-2021 00:00,10:16:00,,,0.8652557,cash,0,14,10-02-2021
65,5716,,,android,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,21:48:00,,,,,0,cash,,,28-02-2021
66,1436,231,357,clientlite,TRUE,MICROSCHEDULING,completed,04-02-2021 00:00,08:42:00,04-02-2021 00:00,09:08:00,04-02-2021 00:00,10:02:00,15.004454,cash,1036.8575,15,04-02-2021
67,1995,,,iphone,FALSE,MICROSCHEDULING,rider_canceled,17-02-2021 00:00,18:18:00,,,,,0,cash,253.92836,,17-02-2021
68,5359,87,98,iphone,FALSE,PRESCHEDULING,completed,15-02-2021 00:00,16:25:00,15-02-2021 00:00,16:25:00,15-02-2021 00:00,17:13:00,14.647354,cash,148.15233,15,15-02-2021
69,2703,77,437,clientlite,FALSE,PRESCHEDULING,rider_canceled,09-02-2021 00:00,06:59:00,,,,,0,cash,16.676895,15,09-02-2021
70,1641,148,468,android,FALSE,PRESCHEDULING,driver_canceled,21-02-2021 00:00,07:26:00,,,,,0,cash,0,14,21-02-2021
71,4777,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,19-02-2021 00:00,19:16:00,,,,,0,cash,,,19-02-2021
72,1619,323,520,iphone,FALSE,PRESCHEDULING,rider_canceled,04-02-2021 00:00,09:09:00,,,,,0,cash,586.75714,14,04-02-2021
73,208,158,142,clientlite,TRUE,PRESCHEDULING,completed,28-02-2021 00:00,07:44:00,28-02-2021 00:00,08:11:00,28-02-2021 00:00,08:34:00,5.0862103,MasterCard,328.67004,14,28-02-2021
74,1579,472,112,iphone,TRUE,MICROSCHEDULING,completed,21-02-2021 00:00,16:16:00,21-02-2021 00:00,16:24:00,21-02-2021 00:00,16:57:00,14.49753,cash,186.2891,15,21-02-2021
75,4743,384,460,iphone,FALSE,PRESCHEDULING,completed,25-02-2021 00:00,16:22:00,25-02-2021 00:00,16:24:00,25-02-2021 00:00,17:51:00,27.911291,cash,0,15,25-02-2021
76,1794,304,310,clientlite,TRUE,PRESCHEDULING,completed,03-02-2021 00:00,08:05:00,03-02-2021 00:00,08:06:00,03-02-2021 00:00,09:06:00,32.25392,MasterCard,329.73492,14,03-02-2021
77,4007,500,111,iphone,FALSE,MICROSCHEDULING,rider_canceled,04-02-2021 00:00,07:34:00,04-02-2021 00:00,08:10:00,,,17.29628,MasterCard,388.27206,14,04-02-2021
78,2033,235,217,android,FALSE,PRESCHEDULING,rider_canceled,17-02-2021 00:00,15:35:00,,,,,0,cash,1317.8367,14,17-02-2021
79,5181,8,384,iphone,FALSE,PRESCHEDULING,completed,10-02-2021 00:00,14:48:00,10-02-2021 00:00,14:47:00,10-02-2021 00:00,15:50:00,26.533592,stored_value,7756.0107,15,10-02-2021
80,5659,492,281,iphone,TRUE,PRESCHEDULING,completed,01-02-2021 00:00,07:45:00,01-02-2021 00:00,07:55:00,01-02-2021 00:00,08:35:00,16.070875,cash,308.78864,15,01-02-2021
81,5485,48,509,iphone,FALSE,PRESCHEDULING,driver_canceled,16-02-2021 00:00,16:07:00,,,,,0,cash,0,15,16-02-2021
82,1912,101,17,android,TRUE,PRESCHEDULING,completed,07-02-2021 00:00,17:32:00,07-02-2021 00:00,17:40:00,07-02-2021 00:00,18:34:00,9.743756,MasterCard,277.19092,15,07-02-2021
83,4471,296,320,unknown,FALSE,PRESCHEDULING,completed,23-02-2021 00:00,06:43:00,23-02-2021 00:00,06:59:00,23-02-2021 00:00,07:46:00,18.943472,derivative,0,15,23-02-2021
84,2114,389,417,android,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,16:58:00,08-02-2021 00:00,17:15:00,08-02-2021 00:00,18:56:00,35.42561,Visa,0,14,08-02-2021
85,1129,,,android,FALSE,PRESCHEDULING,rider_canceled,02-02-2021 00:00,18:54:00,,,,,0,cash,,,02-02-2021
86,1717,183,49,android,FALSE,MICROSCHEDULING,completed,09-02-2021 00:00,14:22:00,09-02-2021 00:00,14:38:00,09-02-2021 00:00,15:38:00,12.935213,cash,209.85345,14,09-02-2021
87,3283,383,396,clientlite,TRUE,PRESCHEDULING,completed,25-02-2021 00:00,18:15:00,25-02-2021 00:00,18:11:00,25-02-2021 00:00,18:53:00,8.353482,cash,410.41943,15,25-02-2021
88,4538,161,60,clientlite,FALSE,PRESCHEDULING,rider_canceled,01-02-2021 00:00,16:58:00,,,,,0,cash,183.09459,15,01-02-2021
89,242,,,android,FALSE,MICROSCHEDULING,rider_canceled,15-02-2021 00:00,07:31:00,,,,,0,cash,299.51416,,15-02-2021
90,3329,469,404,clientlite,TRUE,PRESCHEDULING,completed,25-02-2021 00:00,17:02:00,25-02-2021 00:00,17:04:00,25-02-2021 00:00,18:17:00,22.277195,cash,0,14,25-02-2021
91,2892,142,477,clientlite,TRUE,MICROSCHEDULING,completed,24-02-2021 00:00,16:49:00,24-02-2021 00:00,17:25:00,24-02-2021 00:00,18:38:00,30.413717,cash,552.3955,15,24-02-2021
92,1790,,,iphone,FALSE,PRESCHEDULING,rider_canceled,25-02-2021 00:00,20:04:00,,,,,0,cash,,,25-02-2021
93,1993,329,77,android,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,07:25:00,08-02-2021 00:00,07:26:00,08-02-2021 00:00,08:20:00,19.20993,cash,0,15,08-02-2021
94,3533,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,22-02-2021 00:00,13:00:00,,,,,0,cash,,,22-02-2021
95,1291,317,93,android,FALSE,MICROSCHEDULING,completed,09-02-2021 00:00,08:58:00,09-02-2021 00:00,09:15:00,09-02-2021 00:00,10:56:00,43.246613,cash,12.559769,14,09-02-2021
96,3096,490,84,android,FALSE,PRESCHEDULING,completed,28-02-2021 00:00,16:22:00,28-02-2021 00:00,16:25:00,28-02-2021 00:00,17:35:00,13.485487,cash,262.4211,14,28-02-2021
97,187,406,255,android,FALSE,PRESCHEDULING,completed,11-02-2021 00:00,10:49:00,11-02-2021 00:00,10:51:00,11-02-2021 00:00,11:20:00,11.206823,cash,660.1443,14,11-02-2021
98,3518,459,405,iphone,FALSE,MICROSCHEDULING,rider_canceled,28-02-2021 00:00,16:08:00,,,,,0,cash,464.93158,15,28-02-2021
99,4434,175,104,android,TRUE,PRESCHEDULING,completed,10-02-2021 00:00,08:26:00,10-02-2021 00:00,08:31:00,10-02-2021 00:00,09:03:00,15.255042,Visa,0,15,10-02-2021
100,5577,311,452,clientlite,FALSE,PRESCHEDULING,driver_canceled,11-02-2021 00:00,07:52:00,,,,,0,cash,0,15,11-02-2021
101,4616,511,50,iphone,FALSE,MICROSCHEDULING,completed,03-02-2021 00:00,17:02:00,03-02-2021 00:00,17:24:00,03-02-2021 00:00,18:07:00,12.469081,cash,0,15,03-02-2021
102,3126,217,424,clientlite,TRUE,PRESCHEDULING,completed,21-02-2021 00:00,16:11:00,21-02-2021 00:00,16:22:00,21-02-2021 00:00,17:14:00,27.269728,Visa,759.817,15,21-02-2021
103,5307,,,android,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,15:14:00,,,,,0,cash,,,28-02-2021
104,1925,201,11,clientlite,TRUE,PRESCHEDULING,completed,21-02-2021 00:00,08:18:00,21-02-2021 00:00,08:18:00,21-02-2021 00:00,09:01:00,27.568045,cash,0,15,21-02-2021
105,3123,206,187,android,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,08:25:00,08-02-2021 00:00,08:26:00,08-02-2021 00:00,09:16:00,13.043071,cash,0,14,08-02-2021
106,2678,483,124,clientlite,FALSE,MICROSCHEDULING,completed,15-02-2021 00:00,15:22:00,15-02-2021 00:00,15:38:00,15-02-2021 00:00,16:50:00,24.988644,cash,61.028954,15,15-02-2021
107,574,,,android,FALSE,PRESCHEDULING,rider_canceled,27-02-2021 00:00,19:52:00,,,,,0,cash,,,27-02-2021
108,1736,55,402,unknown,FALSE,PRESCHEDULING,driver_canceled,18-02-2021 00:00,15:59:00,,,,,0,derivative,0,23,18-02-2021
109,2423,168,455,clientlite,FALSE,PRESCHEDULING,driver_canceled,17-02-2021 00:00,08:43:00,,,,,0,cash,253.15134,15,17-02-2021
110,2011,62,410,iphone,FALSE,MICROSCHEDULING,driver_canceled,08-02-2021 00:00,17:28:00,,,,,0,Visa,682.6538,15,08-02-2021
111,1113,79,358,android,FALSE,MICROSCHEDULING,rider_canceled,10-02-2021 00:00,16:55:00,,,,,0,cash,403.24155,15,10-02-2021
112,4334,192,493,clientlite,TRUE,PRESCHEDULING,completed,02-02-2021 00:00,07:18:00,02-02-2021 00:00,07:18:00,02-02-2021 00:00,07:55:00,16.81943,MasterCard,470.86554,15,02-02-2021
113,315,127,163,android,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,18:01:00,08-02-2021 00:00,18:25:00,08-02-2021 00:00,19:28:00,11.504503,cash,0,15,08-02-2021
114,3469,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,18-02-2021 00:00,15:21:00,,,,,0,cash,,,18-02-2021
115,1455,,,android,FALSE,PRESCHEDULING,rider_canceled,20-02-2021 00:00,20:06:00,,,,,0,cash,,,20-02-2021
116,3287,75,195,iphone,FALSE,PRESCHEDULING,completed,04-02-2021 00:00,08:55:00,04-02-2021 00:00,08:58:00,04-02-2021 00:00,09:39:00,14.69585,MasterCard,206.41743,14,04-02-2021
117,1719,406,255,android,TRUE,PRESCHEDULING,completed,23-02-2021 00:00,18:22:00,23-02-2021 00:00,18:28:00,23-02-2021 00:00,19:15:00,11.688459,cash,264.15384,14,23-02-2021
118,4700,18,54,clientlite,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,17:37:00,08-02-2021 00:00,17:40:00,08-02-2021 00:00,18:16:00,14.546618,Visa,242.70618,15,08-02-2021
119,1308,130,333,clientlite,TRUE,PRESCHEDULING,completed,08-02-2021 00:00,08:04:00,08-02-2021 00:00,08:08:00,08-02-2021 00:00,09:21:00,27.686155,cash,274.7183,14,08-02-2021
120,2684,501,4,clientlite,TRUE,PRESCHEDULING,completed,09-02-2021 00:00,08:27:00,09-02-2021 00:00,08:29:00,09-02-2021 00:00,09:29:00,24.838,Visa,198.56894,14,09-02-2021
121,4170,164,37,clientlite,TRUE,MICROSCHEDULING,completed,28-02-2021 00:00,17:26:00,28-02-2021 00:00,17:52:00,28-02-2021 00:00,19:14:00,37.56151,cash,444.35403,15,28-02-2021
122,2212,406,255,android,TRUE,PRESCHEDULING,completed,15-02-2021 00:00,18:22:00,15-02-2021 00:00,18:46:00,15-02-2021 00:00,19:39:00,9.25935,cash,0,14,15-02-2021
123,81,295,64,clientlite,FALSE,PRESCHEDULING,completed,25-02-2021 00:00,09:06:00,25-02-2021 00:00,09:06:00,25-02-2021 00:00,09:53:00,14.882833,cash,934.41077,14,25-02-2021
124,5850,511,50,android,FALSE,MICROSCHEDULING,completed,15-02-2021 00:00,15:26:00,15-02-2021 00:00,15:34:00,15-02-2021 00:00,16:57:00,19.42348,stored_value,232.91663,15,15-02-2021
125,726,219,335,clientlite,FALSE,MICROSCHEDULING,driver_canceled,16-02-2021 00:00,18:13:00,,,,,0,cash,930.819,15,16-02-2021
126,2089,182,464,iphone,FALSE,PRESCHEDULING,rider_canceled,03-02-2021 00:00,08:09:00,,,,,0,cash,1078.6466,15,03-02-2021
127,4533,296,320,unknown,FALSE,PRESCHEDULING,completed,16-02-2021 00:00,06:41:00,16-02-2021 00:00,06:57:00,16-02-2021 00:00,07:53:00,19.017344,derivative,0,15,16-02-2021
128,3261,16,315,android,FALSE,MICROSCHEDULING,driver_canceled,15-02-2021 00:00,16:41:00,,,,,0,cash,688.5959,15,15-02-2021
129,4610,79,358,clientlite,FALSE,PRESCHEDULING,completed,09-02-2021 00:00,10:22:00,09-02-2021 00:00,10:25:00,09-02-2021 00:00,11:29:00,28.648508,cash,0,15,09-02-2021
130,2933,355,92,android,FALSE,PRESCHEDULING,completed,24-02-2021 00:00,09:02:00,24-02-2021 00:00,09:05:00,24-02-2021 00:00,10:14:00,17.020857,cash,11.63048,14,24-02-2021
131,5376,103,243,clientlite,TRUE,PRESCHEDULING,completed,03-02-2021 00:00,07:00:00,03-02-2021 00:00,07:02:00,03-02-2021 00:00,08:23:00,39.140724,cash,0,15,03-02-2021
132,2441,,,android,FALSE,PRESCHEDULING,rider_canceled,03-02-2021 00:00,23:46:00,,,,,0,cash,,,03-02-2021
133,3267,124,220,clientlite,TRUE,PRESCHEDULING,completed,22-02-2021 00:00,08:17:00,22-02-2021 00:00,08:18:00,22-02-2021 00:00,09:24:00,23.895609,cash,526.323,14,22-02-2021
134,1673,414,380,iphone,TRUE,PRESCHEDULING,completed,17-02-2021 00:00,09:55:00,17-02-2021 00:00,09:57:00,17-02-2021 00:00,10:46:00,15.625059,cash,1247.1799,15,17-02-2021
135,1278,284,15,iphone,FALSE,PRESCHEDULING,driver_canceled,02-02-2021 00:00,16:20:00,,,,,0,cash,421.29465,14,02-02-2021
136,313,45,128,android,TRUE,PRESCHEDULING,completed,04-02-2021 00:00,16:54:00,04-02-2021 00:00,16:56:00,04-02-2021 00:00,18:06:00,24.428064,cash,645.30707,15,04-02-2021
137,1472,300,309,clientlite,TRUE,PRESCHEDULING,completed,10-02-2021 00:00,07:34:00,10-02-2021 00:00,07:35:00,10-02-2021 00:00,09:55:00,2.9458086,cash,0,14,10-02-2021
138,2001,186,66,unknown,FALSE,PRESCHEDULING,completed,24-02-2021 00:00,16:04:00,24-02-2021 00:00,16:13:00,24-02-2021 00:00,17:10:00,19.642267,derivative,0,14,24-02-2021
139,4186,210,271,android,FALSE,PRESCHEDULING,completed,28-02-2021 00:00,09:19:00,28-02-2021 00:00,09:26:00,28-02-2021 00:00,10:01:00,12.898446,cash,0,15,28-02-2021
140,4087,489,216,android,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,07:45:00,,,,,0,cash,888.7955,15,28-02-2021
141,4530,446,10,clientlite,TRUE,PRESCHEDULING,completed,22-02-2021 00:00,17:11:00,22-02-2021 00:00,17:12:00,22-02-2021 00:00,18:50:00,35.925083,cash,125.61741,15,22-02-2021
142,4115,285,253,android,FALSE,MICROSCHEDULING,completed,24-02-2021 00:00,14:06:00,24-02-2021 00:00,14:22:00,24-02-2021 00:00,15:12:00,15.561181,cash,87.68878,15,24-02-2021
143,3294,502,85,clientlite,TRUE,PRESCHEDULING,completed,25-02-2021 00:00,18:08:00,25-02-2021 00:00,18:24:00,25-02-2021 00:00,19:26:00,13.47789,cash,242.24042,15,25-02-2021
144,4811,266,225,iphone,FALSE,MICROSCHEDULING,completed,03-02-2021 00:00,16:24:00,03-02-2021 00:00,16:29:00,03-02-2021 00:00,17:04:00,8.1033535,cash,382.02325,14,03-02-2021
145,2468,236,301,iphone,TRUE,PRESCHEDULING,completed,02-02-2021 00:00,09:18:00,02-02-2021 00:00,09:36:00,02-02-2021 00:00,10:12:00,11.203153,cash,656.6599,15,02-02-2021
146,1961,37,204,android,FALSE,PRESCHEDULING,completed,22-02-2021 00:00,08:23:00,22-02-2021 00:00,08:29:00,22-02-2021 00:00,08:56:00,8.710359,cash,38.320976,14,22-02-2021
147,2693,227,433,android,FALSE,PRESCHEDULING,driver_canceled,07-02-2021 00:00,08:53:00,,,,,0,cash,0,15,07-02-2021
148,5107,299,44,iphone,FALSE,MICROSCHEDULING,completed,15-02-2021 00:00,17:36:00,15-02-2021 00:00,17:42:00,15-02-2021 00:00,18:29:00,15.978827,cash,122.29869,15,15-02-2021
